Bleu-score || Original Commit Message || Generated Commit Message

91.432 || build bump version to <num> <num> || bump version to <num> <num>
78.708 || add equals and hash code || equals and hash code
61.766 || add testcase for || add testcase
57.696 || update version to <num> <num> <num> || upping version to <num> <num>
49.161 || remove unused constructor in illegal path exception || remove unused constructor in precondition violation exception
48.602 || deprecate unused code || deprecate unused class
48.602 || remove unnecessary method || remove unnecessary code
48.602 || deprecate unused code || remove unused code
48.602 || deprecate unused code || deprecate unused method
48.602 || delete blank line || remove blank line
48.602 || deleting unused imports || removed unused imports
48.602 || deleting unused imports || removing unused imports
48.602 || remove unused assignment || remove unused file
48.602 || remove unused string || remove unused file
47.739 || equals and hash code call super true || equals and hash code
47.200 || upgrade all for <num> <num> m <num> || build <num> <num> m <num> updates
46.813 || remove unused imports from webapps || remove unused imports from netty <num> utils
44.208 || add rbfnet || add test
44.208 || exclude test || add test
44.208 || rebuild test || add test
44.208 || modify getter || add getter
44.208 || add encryptor || add constructor
44.208 || rename author || add author
44.208 || add renew || add override
44.208 || add authentication || add constructor
44.208 || add proxy || add test
44.208 || modify import || add import
44.208 || remove getter || add getter
44.208 || add properties || add getter
44.208 || add setter || add getter
44.208 || add authour || add author
44.208 || revert test || add test
44.208 || add validation || add log
44.208 || resolve unittest || resolve conflict
44.208 || add verification || add exception
44.208 || set version || update version
44.208 || fix more || fix test
44.208 || fixing import || add import
44.208 || add description || add test
40.383 || deprecate now unused class || deprecate unused class
40.383 || remove the debug code || remove debug code
40.383 || remove some debug code || remove debug code
40.383 || remove a unused import || remove unused import
40.383 || remove a unnecessary annotation || remove unnecessary annotation
38.964 || remove uused import || remove unnecessary import
38.964 || fixing crazyfun build || fixing the build
38.964 || removed unneccessary import || removed unused import
38.964 || removed obsolete import || removed unused import
38.964 || remove extra import || remove unused import
38.675 || set version to <num> <num> dev via coho || update version to <num> <num>
38.512 || make constructor public || make public
37.302 || remove unused import in default mqproducer || remove unused import
37.302 || remove unused import from rstile mixin || remove unused import
37.302 || remove unused import in parseable java || remove unused import
37.302 || update copyright header for xstream marshaller || update copyright header
37.267 || bump next release to <num> <num> || bump version to <num> <num>
36.512 || add on long click listener || add get on click listener
35.456 || update asm usages for java <num> || prepare code using asm for java <num>
35.346 || use a class that actually exists in conditional on missing class || use a string when referencing a class with conditional on missing class
34.825 || remove unused field <num> || remove unused constants
34.825 || remove unused string <num> || remove unused file
34.825 || enhance unit test <num> || ignore test <num>
34.420 || fix the boundary issue when using set supp matrix to restore state || fix a bug in image view the drawing matrix is not updated when set image matrix is called
34.043 || throwing illegal argument exception in case of invalid scale factor || throw proper exception in case of unsupported scale type
33.753 || hive <num> change default of hive hashtable key count adjustment to <num> || update remote ip valve s default internal proxies to include <num> <num>
33.522 || go libraries dialog size is wrong on idea <num> <num> || remove preferred size on web request panel don t needed and avoided a cut of field when the hi dpi x <num> factor is enabled
33.516 || hive <num> npe in spark utilities is dedicated cluster spark branch rui reviewed by jimmy || spark hive tests should not be executed if jvm max memory is less than <num> gb
33.475 || create a testdata top folder to host shared test data for all languages || changed the filepath for the test create thumbnail ffii invalid output file case as it was a valid filepath under linux
33.433 || set default parallelism of spouts bolts to <num> || adding default parallelism level of <num> to periodicals
33.395 || ignore long time test || ignore test for time being
33.385 || remove a call to print stack trace || remove log factory print stack trace
32.977 || use rt class for name || use the tccl for class loading
32.902 || added lower case characters to the token regex || fix the regex used for matching alluxio user name and group name upper case letters allowed which may be different from the specification of certain os distributions
32.860 || merge <num> rc <num> sonar <num> support the annotation suppress warnings at class level || add some g <num> docs for the old and new type systems created by moe http code google com p moe java moe migrated revid <num>
32.817 || add top margin to the xp tracker error panel <num> || remove preferred size on web request panel don t needed and avoided a cut of field when the hi dpi x <num> factor is enabled
32.685 || inserted an empty line || removed an empty file
32.685 || deleting unused imports || removed some unused imports
32.647 || do the analyse of path parameter before http entity generation to avoid a path parameter considered as the entity || remove a check not null call used with a primitive value which will just autobox the argument and do nothing useful
32.647 || add module info java and create a multi release jar to comply with jpms pull <num> || add getter method for line length field created by moe http code google com p moe java moe migrated revid <num>
32.627 || add configuration to server http security configuration || add configuration to scheduled tasks endpoint auto configuration
