Bleu-score || Original Commit Message || Generated Commit Message

72.611 || add a message to the exception || add a message to the server exception
48.602 || improve debug logging || remove debug logging
47.472 || update version to <num> <num> snapshot || update version to <num> <num> <num> <num> <num> <num> <num>
38.964 || remove some debug || remove debug logging
38.964 || remove client debug || remove debug out
34.212 || do the analyse of path parameter before http entity generation to avoid a path parameter considered as the entity || add a check to make the options of the options to the node to the node to the node to the configuration of the map of the map of the map
34.032 || add method debug db is server running || add a method to the client server is not server
33.753 || add default string builder capacity for product update task || add a test to string for the map to the default version
33.642 || return the id of the scanner when returning the alert through the api || add a info to the the output to the the job to the debugging to the debugging to the debugging to the debugging to the debugging to the debugging to the
33.642 || removed a notification statement from the method extension history add history history reference as the list was already notified when that statement is reached || add a null to the the not the call to the the call to the the call to the the current of the activity to the the activity of the activity
33.642 || add change to commit files test to increase stability || add test case to the manifest of the manifest of the manifest of the manifest to the manifest to the manifest to the manifest to the manifest to the manifest name
33.642 || add unique debug ids for editor sections in the preference menu || add log to log to debug the debug of the save to the the debug to the editor to the editor to the editor to the editor to the editor to
33.620 || give correct number of parameters to debug log message || add log to the debug of the debug to the the debug to the debugging to the debugging to the debugging to the debugging to the debugging to the debugging
33.598 || removed the expr rest from the not with parens since it should not expr the rest || add a check to the code of the simple not the call to the local of the configuration of the configuration of the configuration of the configuration of the
33.494 || reduced the number of is connected calls in abstract channel to string || don t show the string to the the necessary is not the one is not the line
33.493 || set default value to <num> seconds that is what all installers seem to be setting the value to || add a test to the the rule of the method to the the default of the method of the editor of the editor
33.245 || add test case for my sqlcapability flag || add test case to fix test test
33.066 || deactivating mout flags in the ui when web dav is used || set the default icon when the overview to the the default is not the the one the the set to the the the set to the the the set to the
33.066 || add default monitor count attribute for build new business config || add a new set to the the options to the the options to the the default to the the default to the the options to the the default to the the
33.066 || apply the patch for bz <num> that was applied to <num> x || add a missing to string to the the job of the call to the the job that the the called to the the job if the the the the the call
33.066 || porting fix to allow for a forward include to call get attribute names on the request in a sandbox || add method to ensure the configuration of the configuration of the configuration to the the string to the default to the default to the default to the default of the default
33.066 || add small pre set up to sample application || add a new to set the set the the set to the the set to the the set to the the set to the the set to the the set to
33.066 || fix a bug with the disappearing animation for the notification || add a text to the the not the code to the the necessary of the editor the not the necessary to the the the default to the the the default of
33.066 || changing process instance post webscript from start process instance by key back to start process instance by id || add missing info to the log of the user of the start to the start to the start to the start to the log to the log to the log to
33.066 || add missing metadata of new alerts notification channel || add a new method to the the right the the save to the the op the the the the the the method to the the op of the editor to the
33.066 || activate assertion on perf test of file sources persistence || add a test to the log to the the job of the file to the the file to the the file to the the file to the the file to the
33.066 || revert perspective fix world to canvas to convert from local to scene coords correctly || add a new to string to the the default of the the one to the the the one to the the the the one to the the the the one to
33.066 || add template stacks to openshift platform in the resources || add the user to the the title to the the two of the save to the the two to the the two to the the save to the save to the
33.066 || check a full name instead of just the class suffix as a single is no longer valid in jdk <num> and mabye <num> || add a new method to the the method to the the job to the node to the node of the configuration to the the default to the the default to the
33.066 || fix a potential race condition where the worker thread of global event executor terminates with a pending task || add a missing call to the the thread to the start to the start to the start to the start to the start to the node to the node to the
32.902 || align mockito after with mockito timeout to take a long instead of int || add a test to make the options of the method to the the op of the method to the the op of the editor of the corresponding
32.860 || add missing thread name in request processor when servlet <num> async is used || add a test name to the the thread of the job that that the the local thread to the the thread to the the set set
32.719 || renaming test method from stage to case || add test case to be load changes
32.689 || fixed a bug where a dynamic buffer s reader index goes out of sync on expansion || add a index to the the not set the not set to the the call to the the op of the object
32.647 || add support for burning stews to cooking plugin <num> <num> || add missing message to the current message to avoid the current of the call for the right to the the image
32.647 || add missing parameter when delegate to sslengine || add a missing method to the the method to the the op of the graph is the method for the code
32.560 || add unsolved symbol exception get name || add a getter to get the name name
32.560 || add postgre sql test for database type test || add test case to test server is test
32.560 || add forgotten session close in the dao test || add a test to set the better method
32.525 || forgot one place in commit fa <num> b <num> ci skip || hive <num> hive exception in not hive <num> sergey exception reviewed by prasanth jayachandran reviewed by xuefu zhang
32.525 || remove unused method terminal node impl is error node || add a method to the node method to get the the method of the node of the node
32.487 || fixed a typo test equans ignore case test equals ignore case || add test case to allow with the configuration of the line of the line of a tests
